ASIN,Category,Product Link,No of Seller,Rank,Rating,Reviews Count,Price,Quantity
B07XKF5RM3,Electronics,https://www.amazon.com/gp/offer-listing/B07XKF5RM3/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,30,4.7,"61,543",$9.98 ,87
B08KY684PB,Electronics,https://www.amazon.com/gp/offer-listing/B08KY684PB/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,31,4.4,"4,207",$9.98 ,90
B00DOMYL24,Electronics,https://www.amazon.com/gp/offer-listing/B00DOMYL24/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,19,32,4.8,"44,320",$9.99 ,93
B091N43KTX,Electronics,https://www.amazon.com/gp/offer-listing/B091N43KTX/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,33,4.7,"267,821",$9.99 ,96
B07CVL2D2S,Electronics,https://www.amazon.com/gp/offer-listing/B07CVL2D2S/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,51,34,4.7,"42,694",$9.99 ,99
B0872FYTWS,Electronics,https://www.amazon.com/gp/offer-listing/B0872FYTWS/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,35,4.7,"17,175",$9.99 ,102
B08ZN97SWW,Electronics,https://www.amazon.com/gp/offer-listing/B08ZN97SWW/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,36,4.4,"54,100",$9.99 ,98
B079JD7F7G,Electronics,https://www.amazon.com/gp/offer-listing/B079JD7F7G/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,36,37,4.5,"50,866",$9.99 ,108
B07WFLBX6Q,Electronics,https://www.amazon.com/gp/offer-listing/B07WFLBX6Q/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,38,4.7,"83,773",$10.00 ,9
B07H8WS1FT,Electronics,https://www.amazon.com/gp/offer-listing/B07H8WS1FT/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,39,4.6,"181,205",$10.00 ,13
B086DKMSSM,Electronics,https://www.amazon.com/gp/offer-listing/B086DKMSSM/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,40,4.4,"54,100",$10.00 ,25
B015IY34FA,Electronics,https://www.amazon.com/gp/offer-listing/B015IY34FA/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,19,41,4.8,"38,743",$10.00 ,17
B07WJS3QDX,Electronics,https://www.amazon.com/gp/offer-listing/B07WJS3QDX/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,42,4.7,"83,773",$10.00 ,19
B0874YZVWK,Electronics,https://www.amazon.com/gp/offer-listing/B0874YZVWK/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,43,4.6,"10,691",$10.00 ,22
